pair_id,condition_id,bank_id,dataset_id,modality,encoder_id,projection_dim,intervention,n_reflected_classes,n_classes,counts_equal,t2_comm_norm_diff,t2_model_norm_diff,max_head_parameter_norm_diff,phase1_object_recovery_norm_error,optimal_tau_set_original,optimal_tau_set_counterfactual,optimal_sets_disjoint,deterministic_pair_minimax_regret,randomized_pair_minimax_regret,curve_linf_shift,best_bacc_original,best_bacc_counterfactual,diag_m3_distance,sketch_m3_distance,sketch_m4_distance,diag_m3_aggregation_norm_error,sketch_m3_aggregation_norm_error,diag_m3_upload_ratio_vs_t2,sketch_m3_upload_ratio_vs_t2,present_client_class_pairs
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100__resnet18_imagenet1k_v1,cifar100,nonmedical,resnet18_imagenet1k_v1,64,all_reflect,100,100,True,5.841611230650211e-15,5.554568057456165e-14,5.36485530252324e-14,3.6361016398951865e-14,[0.5],[0.6],True,0.0011999999999999789,0.0006240000000000636,0.29969999999999997,0.568,0.8655000000000002,0.4425514347667434,0.4119733745869462,4.577563058379366e-13,8.681488790520938e-16,9.547594823659197e-16,1.0298229263746506,1.0074557315936625,859
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100__resnet18_imagenet1k_v1,cifar100,nonmedical,resnet18_imagenet1k_v1,64,hash_half_reflect,44,100,True,5.841611230650218e-15,4.508131829695631e-14,4.3592639660845364e-14,3.6361016398951865e-14,[0.5],[0.5],False,0.0,0.0,0.12940000000000007,0.568,0.6972999999999999,0.2809092105148602,0.25451063406426166,3.137582061970419e-13,8.681488790520938e-16,9.547594823659197e-16,1.0298229263746506,1.0074557315936625,859
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100__resnet18_imagenet1k_v1,cifar100,nonmedical,resnet18_imagenet1k_v1,128,all_reflect,100,100,True,4.679394976389624e-15,5.255294644718644e-14,5.091855598464127e-14,2.512986348292733e-14,[0.3],[0.4],True,0.0008999999999999009,0.000494999999999968,0.3277,0.6311,0.9577,0.4284525759318266,0.40052577102598896,3.205607450255831e-13,1.0718779042398291e-15,1.1392884415366783e-15,1.015263534462199,1.0019079418077748,859
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100__resnet18_imagenet1k_v1,cifar100,nonmedical,resnet18_imagenet1k_v1,128,hash_half_reflect,39,100,True,4.679394976389624e-15,5.255294644718644e-14,5.091855598464127e-14,2.512986348292733e-14,[0.3],[0.3],False,0.0,0.0,0.13150000000000006,0.6311,0.7626000000000001,0.27146991063125436,0.25483650039950145,1.838377320493324e-13,1.0718779042398291e-15,1.1392884415366783e-15,1.015263534462199,1.0019079418077748,859
cifar100__vit_b_16_imagenet1k_v1__d64__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d64,cifar100__vit_b_16_imagenet1k_v1,cifar100,nonmedical,vit_b_16_imagenet1k_v1,64,all_reflect,100,100,True,4.362008280243673e-15,7.327471962526033e-15,7.327471962526033e-15,8.659739592076221e-15,[0.4],[0.6],True,0.0010999999999999899,0.0006500000000000066,0.23529999999999995,0.7051999999999999,0.9384999999999999,0.5221972541414758,0.5431667995533613,3.537285375209472e-14,6.630980407010881e-16,4.2895937787502313e-16,1.0298229263746506,1.0074557315936625,871
cifar100__vit_b_16_imagenet1k_v1__d64__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d64,cifar100__vit_b_16_imagenet1k_v1,cifar100,nonmedical,vit_b_16_imagenet1k_v1,64,hash_half_reflect,51,100,True,4.362008280243673e-15,7.271960811294775e-15,7.271960811294775e-15,8.659739592076221e-15,[0.4],[0.5],True,0.00019999999999997797,0.00018787878787876924,0.11670000000000003,0.7051999999999999,0.8212,0.3776858617872934,0.40354883121755264,2.9709617924713336e-14,6.630980407010881e-16,4.2895937787502313e-16,1.0298229263746506,1.0074557315936625,871
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100__vit_b_16_imagenet1k_v1,cifar100,nonmedical,vit_b_16_imagenet1k_v1,128,all_reflect,100,100,True,4.08853213177657e-15,7.521760991835436e-15,7.494005416219807e-15,7.271960811294775e-15,[0.4],[0.3],True,0.0010999999999999899,0.0007542857142857382,0.22810000000000008,0.7577000000000002,0.9833999999999999,0.521791794268295,0.5254952833996069,5.572901465020396e-14,1.1668048579227613e-15,5.825374068549892e-16,1.015263534462199,1.0019079418077748,871
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100__vit_b_16_imagenet1k_v1,cifar100,nonmedical,vit_b_16_imagenet1k_v1,128,hash_half_reflect,53,100,True,4.08853213177657e-15,7.521760991835436e-15,7.494005416219807e-15,7.271960811294775e-15,[0.4],[0.4],False,0.0,0.0,0.12030000000000007,0.7577000000000002,0.8760999999999999,0.38362074804949803,0.38663921093738207,3.7030606505824415e-14,1.1668048579227613e-15,5.825374068549892e-16,1.015263534462199,1.0019079418077748,871
dermamnist__resnet18_imagenet1k_v1__d64__all_reflect,dermamnist__resnet18_imagenet1k_v1__d64,dermamnist__resnet18_imagenet1k_v1,dermamnist,medical,resnet18_imagenet1k_v1,64,all_reflect,7,7,True,1.4032098522935678e-14,1.637578961322106e-14,1.637578961322106e-14,2.4091839634365897e-14,[0.6],[0.6],False,0.0,0.0,0.2038670908668776,0.4564154000460593,0.6546107418792805,1.2852792250917895,1.2797649203466777,4.626411966944073e-13,3.022014943973052e-15,4.60431206619817e-16,1.0298229263746506,1.0074557315936625,57
dermamnist__resnet18_imagenet1k_v1__d64__hash_half_reflect,dermamnist__resnet18_imagenet1k_v1__d64,dermamnist__resnet18_imagenet1k_v1,dermamnist,medical,resnet18_imagenet1k_v1,64,hash_half_reflect,4,7,True,1.4032098522935678e-14,1.554312234475219e-14,1.554312234475219e-14,2.4091839634365897e-14,[0.6],[0.7],True,0.0018969737067193737,0.0014896792878313992,0.16612271397256895,0.4564154000460593,0.6155999329156904,0.8897825130524606,0.8511215708370495,3.5723323892110173e-13,3.022014943973052e-15,4.60431206619817e-16,1.0298229263746506,1.0074557315936625,57
