pair_id,condition_id,dataset_id,encoder_id,projection_dim,intervention,task,tau,balanced_accuracy
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.0,0.6993
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.1,0.8693000000000001
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.2,0.9400999999999999
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.3,0.9568000000000001
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.4,0.9577
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.5,0.9532
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.6,0.9468000000000001
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.7,0.9386
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.8,0.9276000000000001
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,0.9,0.9142999999999999
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,counterfactual,1.0,0.8952000000000001
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.0,0.5615000000000001
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.1,0.6113999999999999
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.2,0.6275999999999999
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.3,0.6311
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.4,0.63
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.5,0.6259
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.6,0.6226999999999999
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.7,0.617
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.8,0.6152
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,0.9,0.6100000000000001
cifar100__resnet18_imagenet1k_v1__d128__all_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,all_reflect,original,1.0,0.6035
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.0,0.6182
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.1,0.7164
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.2,0.7545000000000001
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.3,0.7626000000000001
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.4,0.7615
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.5,0.7572
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.6,0.7521000000000001
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.7,0.7456999999999999
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.8,0.7391999999999999
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.9,0.7303000000000001
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,counterfactual,1.0,0.7181000000000001
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.0,0.5615000000000001
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.1,0.6113999999999999
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.2,0.6275999999999999
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.3,0.6311
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.4,0.63
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.5,0.6259
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.6,0.6226999999999999
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.7,0.617
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.8,0.6152
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,0.9,0.6100000000000001
cifar100__resnet18_imagenet1k_v1__d128__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,hash_half_reflect,original,1.0,0.6035
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.0,0.604
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.1,0.7040999999999998
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.2,0.7772
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.3,0.8271999999999999
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.4,0.855
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.5,0.8641999999999999
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.6,0.8655000000000002
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.7,0.8634
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.8,0.8581000000000002
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,0.9,0.8498
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,counterfactual,1.0,0.8332
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.0,0.4928999999999999
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.1,0.5318
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.2,0.5549000000000001
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.3,0.5627
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.4,0.5652999999999999
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.5,0.568
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.6,0.5668
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.7,0.5637
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.8,0.5601
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,0.9,0.5544
cifar100__resnet18_imagenet1k_v1__d64__all_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,all_reflect,original,1.0,0.5504000000000001
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.0,0.5337
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.1,0.6064
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.2,0.6517999999999999
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.3,0.6778
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.4,0.6919
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.5,0.6972999999999999
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.6,0.6955000000000001
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.7,0.6925
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.8,0.689
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,0.9,0.6838000000000001
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,counterfactual,1.0,0.6733
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.0,0.4928999999999999
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.1,0.5318
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.2,0.5549000000000001
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.3,0.5627
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.4,0.5652999999999999
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.5,0.568
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.6,0.5668
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.7,0.5637
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.8,0.5601
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,0.9,0.5544
cifar100__resnet18_imagenet1k_v1__d64__hash_half_reflect,cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,hash_half_reflect,original,1.0,0.5504000000000001
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.0,0.8331999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.1,0.9509000000000001
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.2,0.9790000000000001
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.3,0.9833999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.4,0.9823
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.5,0.9786999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.6,0.9749000000000001
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.7,0.9692000000000001
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.8,0.9626
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,0.9,0.9535000000000001
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,counterfactual,1.0,0.9385999999999999
