condition_id,dataset_id,bank_id,encoder_id,projection_dim,pair_id,domain_a,domain_b,selection_rank,eligible_pair_count,selected_pair_count,n_shared_classes,t2_distance,t2_empirical_percentile,m3_distance,optimal_tau_set_original,optimal_tau_set_counterfactual,optimal_sets_disjoint,deterministic_pair_minimax_regret,randomized_pair_minimax_regret,curve_linf_shift,best_bacc_original,best_bacc_counterfactual,gamma_bootstrap_ci95_low,gamma_bootstrap_ci95_high,robust_decision_critical,m3_upload_ratio_vs_t2,no_group_leakage
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17,camelyon17__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,camelyon17__0000__0003,0,3,1,10,2,2,0.9862864068589905,0.1,0.18575046695091857,[0.0],[1.0],True,0.01708450508516013,0.014718266718832654,0.20029064275181852,0.9093694842142758,0.9099828023642138,0.014772601347654258,0.019512031316740227,True,1.0019081693500298,True
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17,camelyon17__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,camelyon17__0003__0004,3,4,2,10,2,2,1.4614083624355978,0.2,0.4607851416998616,[1.0],[0.2],True,0.0018873274042895405,0.0015996842297263793,0.13360012334098448,0.9099828023642138,0.7876749996106794,0.0,0.005468116280912165,False,1.0019081693500298,True
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17,camelyon17__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,camelyon17__0000__0003,0,3,1,10,2,2,0.7405685808377079,0.1,0.2984380479790531,[0.0],[0.6],True,0.010216048661678134,0.007651259800251385,0.15125119996015912,0.8964727531956587,0.906480010236882,0.008725717611498618,0.011282317796723354,True,1.0074592074592075,True
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17,camelyon17__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,camelyon17__0003__0004,3,4,2,10,2,2,1.1522031943566828,0.2,0.47176584899436397,[0.6],[0.4],True,0.0009763664094362134,0.0006063022971908804,0.1469076494853716,0.906480010236882,0.7818710822297021,0.0,0.0029756140432012908,False,1.0074592074592075,True
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17,camelyon17__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,camelyon17__0000__0003,0,3,1,10,2,2,0.9628758076656069,0.1,0.2340574106872536,[0.0],[0.9],True,0.018741242793348212,0.013925883759863263,0.15538073111350548,0.9103817827624354,0.9059548557124715,0.01604473447431118,0.019881219294353828,True,1.0019081693500298,True
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17,camelyon17__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,camelyon17__0000__0002,0,2,2,10,2,2,1.3662944499632304,0.2,0.3334289346894569,[0.0],[0.1],True,0.003496749853091119,0.001997709202604771,0.06543588606873951,0.9103817827624354,0.8618685589344306,0.0018407502473233362,0.004954241870395673,False,1.0019081693500298,True
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17,camelyon17__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,camelyon17__0000__0003,0,3,1,10,2,2,0.7132511662703256,0.1,0.2553036999496873,[0.0],[0.9],True,0.016027964192817157,0.015402770792845239,0.14530520348623432,0.900504681290606,0.8974251792259902,0.0149156360595696,0.01732868770657203,True,1.0074592074592075,True
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17,camelyon17__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,camelyon17__0002__0003,2,3,2,10,2,2,0.9873383945380151,0.2,0.35452186237198186,[0.1],[0.9],True,0.016027964192817157,0.013946376226167415,0.17914931093797049,0.8627687533514127,0.8974251792259902,0.014997422818483383,0.01730277210022082,True,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,iwildcam__0081__0268,81,268,1,1281,10,3,2.6797459250834197,0.00078064012490242,0.7076029766806866,[0.0],"[0.5, 0.6]",True,0.0059880239520957446,0.003169572107765452,0.08608015689435355,0.9539802789802789,0.8738881460380211,0.0,0.011976047904191493,False,1.0019081693500298,True
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,iwildcam__0041__0157,41,157,2,1281,10,3,2.7109278499940905,0.00156128024980484,0.6905055364577848,[0.2],[0.9],True,0.011235955056179914,0.011023171155694724,0.12583421834808073,0.8709475390509872,0.9559771596979186,0.0,0.026149425287356313,False,1.0019081693500298,True
