condition_id,pair_id,task,tau,balanced_accuracy
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.0,0.9093694842142758
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.1,0.8922849791291156
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.2,0.8658255200124169
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.3,0.8311127072430072
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.4,0.7916330294958392
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.5,0.7598180255550961
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.6,0.7364764524968281
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.7,0.7210807083824065
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.8,0.7125424877464408
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.9,0.7097986646703351
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,1.0,0.7096921596123953
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.0,0.882568887035234
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.1,0.8973056000859585
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.2,0.9052864574790731
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.3,0.9089399363395532
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.4,0.9098403769278023
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.5,0.9091949083936623
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.6,0.9069609902269763
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.7,0.9052627147593089
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.8,0.9051126326445109
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.9,0.9068239880785127
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,1.0,0.9099828023642138
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.0,0.882568887035234
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.1,0.8973056000859585
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.2,0.9052864574790731
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.3,0.9089399363395532
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.4,0.9098403769278023
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.5,0.9091949083936623
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.6,0.9069609902269763
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.7,0.9052627147593089
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.8,0.9051126326445109
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,0.9,0.9068239880785127
camelyon17__resnet18_imagenet1k_v1__d128,camelyon17__0003__0004,domain_a,1.0,0.9099828023642138
