institution_id,age_band,context_id,N,n_positive,n_negative,balanced_accuracy,risk
CPSC-family,40-59,CPSC-family|40-59,2500,161,2339,0.9239044131510254,0.07609558684897455
CPSC-family,60-74,CPSC-family|60-74,3640,299,3341,0.9042593339666593,0.09574066603334075
CPSC-family,75+,CPSC-family|75+,2734,321,2413,0.8749523931249863,0.1250476068750137
CPSC-family,<40,CPSC-family|<40,1444,47,1397,0.9616427298618621,0.038357270138137944
Chapman-Shaoxing,40-59,Chapman-Shaoxing|40-59,3227,47,3180,0.9159373745483741,0.0840626254516259
Chapman-Shaoxing,60-74,Chapman-Shaoxing|60-74,3619,100,3519,0.9138420005683432,0.0861579994316568
Chapman-Shaoxing,75+,Chapman-Shaoxing|75+,2139,94,2045,0.8092753472402852,0.19072465275971484
Ningbo,40-59,Ningbo|40-59,10112,135,9977,0.92428363012707,0.07571636987292996
Ningbo,60-74,Ningbo|60-74,11379,342,11037,0.8889405492529912,0.11105945074700885
Ningbo,75+,Ningbo|75+,7389,380,7009,0.8166635378573414,0.18333646214265864
PTB-XL,40-59,PTB-XL|40-59,6918,101,6817,0.8983104266125601,0.10168957338743989
PTB-XL,60-74,PTB-XL|60-74,7471,315,7156,0.8650993283469528,0.1349006716530472
PTB-XL,75+,PTB-XL|75+,4306,327,3979,0.8383524205442487,0.16164757945575126
