condition_id,bank_id,dataset_id,modality,encoder_id,source_feature_dim,projection_dim,train_n,test_n,n_classes,tau_0_5,best_full_test_bacc,crossfit_interior_bacc,crossfit_endpoint_bacc,crossfit_gain,crossfit_gain_ci95_low,crossfit_gain_ci95_high,qualifying_interior,selected_interior_tau_fold1,selected_endpoint_tau_fold1,selected_interior_tau_fold2,selected_endpoint_tau_fold2,object_recovery_max_abs,object_recovery_pass,all_finite
cifar100__resnet18_imagenet1k_v1__d64,cifar100__resnet18_imagenet1k_v1,cifar100,nonmedical,resnet18_imagenet1k_v1,512,64,50000,10000,100,0.4,0.568,0.568,0.5504000000000001,0.017599999999999838,0.011899999999999999,0.02359999999999999,True,0.5,1.0,0.5,1.0,3.637978807091713e-12,True,True
cifar100__resnet18_imagenet1k_v1__d128,cifar100__resnet18_imagenet1k_v1,cifar100,nonmedical,resnet18_imagenet1k_v1,512,128,50000,10000,100,0.2,0.6311,0.6311,0.6035,0.027599999999999958,0.021,0.034499999999999996,True,0.3,1.0,0.3,1.0,3.637978807091713e-12,True,True
cifar100__vit_b_16_imagenet1k_v1__d64,cifar100__vit_b_16_imagenet1k_v1,cifar100,nonmedical,vit_b_16_imagenet1k_v1,768,64,50000,10000,100,0.4,0.7051999999999999,0.7051999999999999,0.6844000000000001,0.02079999999999982,0.015000000000000005,0.026699999999999998,True,0.4,1.0,0.4,1.0,1.2505552149377763e-12,True,True
cifar100__vit_b_16_imagenet1k_v1__d128,cifar100__vit_b_16_imagenet1k_v1,cifar100,nonmedical,vit_b_16_imagenet1k_v1,768,128,50000,10000,100,0.3,0.7577000000000002,0.7577000000000002,0.7243999999999999,0.03330000000000022,0.02750000000000001,0.03919999999999999,True,0.4,1.0,0.4,1.0,1.1368683772161603e-12,True,True
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist__resnet18_imagenet1k_v1,dermamnist,medical,resnet18_imagenet1k_v1,512,64,7007,2005,7,0.5,0.4564154000460593,0.448506361508885,0.4098611194694827,0.03864524203940228,0.003942349035736258,0.07323244384005072,True,0.7,1.0,0.6,1.0,2.7284841053187847e-11,True,True
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist__resnet18_imagenet1k_v1,dermamnist,medical,resnet18_imagenet1k_v1,512,128,7007,2005,7,0.2,0.516266756949518,0.5116785796993562,0.4640916913915367,0.04758688830781943,0.0028261970515748224,0.09230903443806455,True,0.2,1.0,0.3,1.0,3.8198777474462986e-11,True,True
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist__vit_b_16_imagenet1k_v1,dermamnist,medical,vit_b_16_imagenet1k_v1,768,64,7007,2005,7,0.3,0.5197314472729933,0.49880971298629706,0.4977695702556617,0.0010401427306353517,-0.03282206715085067,0.034739603051449214,False,0.6,1.0,0.3,1.0,1.3642420526593924e-11,True,True
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist__vit_b_16_imagenet1k_v1,dermamnist,medical,vit_b_16_imagenet1k_v1,768,128,7007,2005,7,0.2,0.5607384952201379,0.5449548116535542,0.47019410957432684,0.07476070207922736,0.041852044113501866,0.11121830143521183,True,0.5,1.0,0.1,0.0,2.1827872842550278e-11,True,True
eurosat__resnet18_imagenet1k_v1__d64,eurosat__resnet18_imagenet1k_v1,eurosat,nonmedical,resnet18_imagenet1k_v1,512,64,21600,5400,10,0.1,0.8832000000000001,0.8819666666666668,0.8675499999999999,0.014416666666666855,0.007816666666666668,0.021166666666666663,True,0.3,1.0,0.2,1.0,1.1368683772161603e-11,True,True
eurosat__resnet18_imagenet1k_v1__d128,eurosat__resnet18_imagenet1k_v1,eurosat,nonmedical,resnet18_imagenet1k_v1,512,128,21600,5400,10,0.1,0.9049999999999999,0.9028166666666667,0.8838666666666667,0.018950000000000022,0.01365,0.024566666666666664,True,0.1,0.0,0.2,1.0,1.1368683772161603e-11,True,True
eurosat__vit_b_16_imagenet1k_v1__d64,eurosat__vit_b_16_imagenet1k_v1,eurosat,nonmedical,vit_b_16_imagenet1k_v1,768,64,21600,5400,10,0.2,0.8816333333333333,0.8816333333333333,0.8780833333333333,0.003549999999999942,-0.0028000000000000004,0.009833333333333333,False,0.4,1.0,0.4,1.0,9.094947017729282e-12,True,True
eurosat__vit_b_16_imagenet1k_v1__d128,eurosat__vit_b_16_imagenet1k_v1,eurosat,nonmedical,vit_b_16_imagenet1k_v1,768,128,21600,5400,10,0.2,0.9163166666666667,0.9163166666666667,0.8960833333333333,0.020233333333333325,0.014465833333333332,0.02593333333333333,True,0.2,1.0,0.2,0.0,8.185452315956354e-12,True,True
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist__resnet18_imagenet1k_v1,pathmnist,medical,resnet18_imagenet1k_v1,512,64,89996,7180,9,0.0,0.7349616657897087,0.7349616657897087,0.7325496799443194,0.002411985845389264,-0.0034158336183659896,0.008310239420192435,False,0.1,0.0,0.1,0.0,1.4551915228366852e-10,True,True
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist__resnet18_imagenet1k_v1,pathmnist,medical,resnet18_imagenet1k_v1,512,128,89996,7180,9,0.1,0.7424205075144195,0.7424205075144195,0.7314196414122848,0.011000866102134688,0.0038374440082305315,0.01835386375585623,True,0.1,0.0,0.1,0.0,1.5643308870494366e-10,True,True
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist__vit_b_16_imagenet1k_v1,pathmnist,medical,vit_b_16_imagenet1k_v1,768,64,89996,7180,9,0.1,0.784268794230227,0.784268794230227,0.7663267200262558,0.017942074203971203,0.010490268291371075,0.02566651000620132,True,0.2,0.0,0.2,0.0,1.0368239600211382e-10,True,True
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist__vit_b_16_imagenet1k_v1,pathmnist,medical,vit_b_16_imagenet1k_v1,768,128,89996,7180,9,0.1,0.8295128097848417,0.8295128097848417,0.8228345892081541,0.0066782205766875435,0.0007839943115167612,0.012640130433599048,True,0.1,0.0,0.1,0.0,1.2369127944111824e-10,True,True
