condition_id,method_id,balanced_accuracy,accuracy,macro_f1,deployable,notes
cifar100__resnet18_imagenet1k_v1__d128,class_specific_tau1,0.6035,0.6035,0.6036037791777233,True,
cifar100__resnet18_imagenet1k_v1__d128,diagonal_class_gaussian,0.48229999999999995,0.4823,0.4805276202947869,True,
cifar100__resnet18_imagenet1k_v1__d128,fixed_tau0_5,0.6259,0.6259,0.6255615467756381,True,
cifar100__resnet18_imagenet1k_v1__d128,ncm,0.47779999999999995,0.4778,0.4756176816538218,True,
cifar100__resnet18_imagenet1k_v1__d128,oracle_best_tau_test_upper_bound,0.6311,0.6311,0.630105941528341,False,test-label upper bound; tau=0.3
cifar100__resnet18_imagenet1k_v1__d128,shared_covariance_tau0,0.5615000000000001,0.5615,0.5635363129788572,True,
cifar100__resnet18_imagenet1k_v1__d64,class_specific_tau1,0.5504000000000001,0.5504,0.5490423342060563,True,
cifar100__resnet18_imagenet1k_v1__d64,diagonal_class_gaussian,0.4339,0.4339,0.4269495255144008,True,
cifar100__resnet18_imagenet1k_v1__d64,fixed_tau0_5,0.568,0.568,0.5660060560258874,True,
cifar100__resnet18_imagenet1k_v1__d64,ncm,0.4280999999999999,0.4281,0.42158592742478945,True,
cifar100__resnet18_imagenet1k_v1__d64,oracle_best_tau_test_upper_bound,0.568,0.568,0.5660060560258874,False,test-label upper bound; tau=0.5
cifar100__resnet18_imagenet1k_v1__d64,shared_covariance_tau0,0.4928999999999999,0.4929,0.4909917631425948,True,
cifar100__vit_b_16_imagenet1k_v1__d128,class_specific_tau1,0.7243999999999999,0.7244,0.7276693972135058,True,
cifar100__vit_b_16_imagenet1k_v1__d128,diagonal_class_gaussian,0.6681,0.6681,0.6696071903796711,True,
cifar100__vit_b_16_imagenet1k_v1__d128,fixed_tau0_5,0.7558000000000001,0.7558,0.7547947568497189,True,
cifar100__vit_b_16_imagenet1k_v1__d128,ncm,0.6633999999999999,0.6634,0.6635792675739968,True,
cifar100__vit_b_16_imagenet1k_v1__d128,oracle_best_tau_test_upper_bound,0.7577000000000002,0.7577,0.756607963703413,False,test-label upper bound; tau=0.4
cifar100__vit_b_16_imagenet1k_v1__d128,shared_covariance_tau0,0.7003,0.7003,0.7018297723625949,True,
