condition_id,dataset_id,encoder_id,projection_dim,tau,balanced_accuracy,accuracy,macro_f1
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.0,0.5615000000000001,0.5615,0.5635363129788572
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.1,0.6113999999999999,0.6114,0.6110437847483753
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.2,0.6275999999999999,0.6276,0.626590165237608
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.3,0.6311,0.6311,0.630105941528341
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.4,0.63,0.63,0.6293345235705949
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.5,0.6259,0.6259,0.6255615467756381
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.6,0.6226999999999999,0.6227,0.6224434597042959
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.7,0.617,0.617,0.6168380846320609
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.8,0.6152,0.6152,0.6149252765053156
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,0.9,0.6100000000000001,0.61,0.6098690039494858
cifar100__resnet18_imagenet1k_v1__d128,cifar100,resnet18_imagenet1k_v1,128,1.0,0.6035,0.6035,0.6036037791777233
cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,0.0,0.4928999999999999,0.4929,0.4909917631425948
cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,0.1,0.5318,0.5318,0.5295947508269607
cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,0.2,0.5549000000000001,0.5549,0.5519745481291054
cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,0.3,0.5627,0.5627,0.5602422768334872
cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,0.4,0.5652999999999999,0.5653,0.5631804742645159
cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,0.5,0.568,0.568,0.5660060560258874
cifar100__resnet18_imagenet1k_v1__d64,cifar100,resnet18_imagenet1k_v1,64,0.6,0.5668,0.5668,0.5648378911150601
