condition_id,bank_id,dataset_id,modality,encoder_id,projection_dim,objective_id,selected_tau,adaptive_bacc,adaptive_accuracy,adaptive_macro_f1,best_endpoint_tau_test_oracle,best_endpoint_bacc_test_oracle,adaptive_gain_vs_best_endpoint,adaptive_gain_ci95_low,adaptive_gain_ci95_high,oracle_best_tau_test,oracle_best_bacc_test,oracle_interior_tau_test,oracle_interior_bacc_test,oracle_interior_gain_vs_best_endpoint,oracle_opportunity,oracle_gain_recovery_fraction,object_recovery_max_abs,object_recovery_pass,selector_test_independence_pass,all_finite,present_client_class_fold_pairs,present_client_class_pairs,adaptive_folded_object_bytes_float32,class_specific_object_bytes_float32,adaptive_upload_ratio_vs_class_specific_object
cifar100__resnet18_imagenet1k_v1__d64,cifar100__resnet18_imagenet1k_v1,cifar100,nonmedical,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,1.0,0.5504000000000001,0.5504,0.5490423342060563,1.0,0.5504000000000001,0.0,0.0,0.0,0.5,0.568,0.5,0.568,0.017599999999999838,True,0.0,3.410605131648481e-12,True,True,True,1613,859,13845992,7373656,1.8777648428405123
cifar100__resnet18_imagenet1k_v1__d128,cifar100__resnet18_imagenet1k_v1,cifar100,nonmedical,resnet18_imagenet1k_v1,128,hard_competitor_expected_margin,1.0,0.6035,0.6035,0.6036037791777233,1.0,0.6035,0.0,0.0,0.0,0.3,0.6311,0.3,0.6311,0.027599999999999958,True,0.0,2.7284841053187847e-12,True,True,True,1613,859,54106472,28814296,1.8777648428405123
cifar100__vit_b_16_imagenet1k_v1__d64,cifar100__vit_b_16_imagenet1k_v1,cifar100,nonmedical,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,1.0,0.6844000000000001,0.6844,0.6859485934919983,1.0,0.6844000000000001,0.0,0.0,0.0,0.4,0.7051999999999999,0.4,0.7051999999999999,0.02079999999999982,True,0.0,1.1368683772161603e-12,True,True,True,1622,871,13923248,7476664,1.862227324913892
cifar100__vit_b_16_imagenet1k_v1__d128,cifar100__vit_b_16_imagenet1k_v1,cifar100,nonmedical,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,1.0,0.7243999999999999,0.7244,0.7276693972135058,1.0,0.7243999999999999,0.0,0.0,0.0,0.4,0.7577000000000002,0.4,0.7577000000000002,0.03330000000000022,True,0.0,1.1368683772161603e-12,True,True,True,1622,871,54408368,29216824,1.862227324913892
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist__resnet18_imagenet1k_v1,dermamnist,medical,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,0.6,0.4564154000460593,0.6309226932668329,0.36731681130878174,1.0,0.4098611194694827,0.04655428057657657,0.012312435422908441,0.08282017521190983,0.6,0.4564154000460593,0.6,0.4564154000460593,0.04655428057657657,True,1.0,4.001776687800884e-11,True,True,True,105,57,901320,489288,1.8421052631578947
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist__resnet18_imagenet1k_v1,dermamnist,medical,resnet18_imagenet1k_v1,128,hard_competitor_expected_margin,0.5,0.49990166629949784,0.5880299251870325,0.38490692037777974,1.0,0.4640916913915367,0.03580997490796112,0.0008485591016447775,0.07375862907261867,0.3,0.516266756949518,0.3,0.516266756949518,0.05217506555798124,True,0.6863426911877306,2.546585164964199e-11,True,True,True,105,57,3522120,1912008,1.8421052631578947
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist__vit_b_16_imagenet1k_v1,dermamnist,medical,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,0.6,0.5079698261810417,0.6927680798004987,0.44870024864886865,1.0,0.4977695702556617,0.010200255925379986,-0.015300672841471097,0.036490611029328476,0.3,0.5197314472729933,0.3,0.5197314472729933,0.021961877017331544,True,0.4644528296616133,1.8189894035458565e-11,True,True,True,136,72,1167424,618048,1.8888888888888888
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist__vit_b_16_imagenet1k_v1,dermamnist,medical,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,0.6,0.5536168758685401,0.6972568578553616,0.4704792428587642,0.0,0.4913434509039732,0.06227342496456695,0.0180503551717751,0.10782227592381789,0.5,0.5607384952201379,0.5,0.5607384952201379,0.06939504431616467,True,0.8973756783099448,2.000888343900442e-11,True,True,True,136,72,4561984,2415168,1.8888888888888888
eurosat__resnet18_imagenet1k_v1__d64,eurosat__resnet18_imagenet1k_v1,eurosat,nonmedical,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,1.0,0.8675499999999999,0.8712962962962963,0.8668410555612207,1.0,0.8675499999999999,0.0,0.0,0.0,0.2,0.8832000000000001,0.2,0.8832000000000001,0.015650000000000164,True,0.0,1.0459189070388675e-11,True,True,True,200,105,1716800,901320,1.9047619047619047
eurosat__resnet18_imagenet1k_v1__d128,eurosat__resnet18_imagenet1k_v1,eurosat,nonmedical,resnet18_imagenet1k_v1,128,hard_competitor_expected_margin,1.0,0.8840833333333334,0.8875925925925926,0.8845373430997888,0.0,0.8901000000000001,-0.00601666666666667,-0.013717500000000002,0.0015499999999999995,0.2,0.9049999999999999,0.2,0.9049999999999999,0.014899999999999802,True,-0.40380313199105705,9.549694368615746e-12,True,True,True,200,105,6708800,3522120,1.9047619047619047
